Sequence,ExpectedTotal_ms,Network_ms,JitterSize_pkts,Jitter_ms,Total_ms
1,13,0.55,0,0,12.55
2,13,0.104,1,4,16.104
3,13,0.177,2,8,20.177
4,13,0.231,3,12,24.231
5,13,0.146,0,0,12.146
6,13,0.054,1,4,16.054
7,13,0.151,0,0,12.151
8,13,0.12,0,0,12.12
9,13,0.15,0,0,12.15
10,13,0.201,0,0,12.201
11,13,0.158,0,0,12.158
12,13,0.12,0,0,12.12
13,13,0.169,0,0,12.169
14,13,0.09,1,4,16.09
15,13,0.115,0,0,12.115
16,13,0.117,0,0,12.117
17,13,0.132,0,0,12.132
18,13,0.116,0,0,12.116
19,13,0.168,0,0,12.168
20,13,0.152,0,0,12.152
21,13,0.157,0,0,12.157
22,13,0.243,0,0,12.243
23,13,0.156,0,0,12.156
24,13,0.5,0,0,12.5
25,13,0.14,0,0,12.14
26,13,0.058,1,4,16.058
27,13,0.153,0,0,12.153
28,13,0.138,0,0,12.138
29,13,0.114,0,0,12.114
30,13,0.115,0,0,12.115
31,13,0.145,0,0,12.145
32,13,0.131,0,0,12.131
33,13,0.143,0,0,12.143
34,13,0.241,0,0,12.241
35,13,0.155,0,0,12.155
36,13,0.313,0,0,12.313
37,13,0.169,0,0,12.169
38,13,0.137,0,0,12.137
39,13,0.122,0,0,12.122
40,13,0.376,0,0,12.376
41,13,0.137,0,0,12.137
42,13,0.127,0,0,12.127
43,13,0.125,0,0,12.125
44,13,0.12,0,0,12.12
45,13,0.175,0,0,12.175
46,13,0.07,0,0,12.07
47,13,0.15,0,0,12.15
48,13,0.491,0,0,12.491
49,13,0.402,1,4,16.402
50,13,0.146,0,0,12.146
51,13,0.121,0,0,12.121
52,13,0.214,0,0,12.214
53,13,0.141,0,0,12.141
54,13,0.154,0,0,12.154
55,13,0.096,0,0,12.096
56,13,0.164,0,0,12.164
57,13,0.137,0,0,12.137
58,13,0.363,0,0,12.363
59,13,0.16,0,0,12.16
60,13,0.192,0,0,12.192
61,13,0.144,0,0,12.144
62,13,0.134,0,0,12.134
63,13,0.197,0,0,12.197
64,13,0.115,0,0,12.115
65,13,0.134,0,0,12.134
66,13,0.105,0,0,12.105
67,13,0.13,0,0,12.13
68,13,0.155,0,0,12.155
69,13,0.149,0,0,12.149
70,13,0.131,0,0,12.131
71,13,0.139,0,0,12.139
72,13,0.162,0,0,12.162
73,13,0.11,0,0,12.11
74,13,0.119,0,0,12.119
75,13,0.114,0,0,12.114
76,13,0.135,0,0,12.135
77,13,0.165,0,0,12.165
78,13,0.203,0,0,12.203
79,13,0.078,0,0,12.078
80,13,0.116,0,0,12.116
81,13,0.14,0,0,12.14
82,13,0.125,0,0,12.125
83,13,0.131,0,0,12.131
84,13,0.144,0,0,12.144
85,13,0.139,0,0,12.139
86,13,0.04,1,4,16.04
87,13,0.111,0,0,12.111
88,13,0.131,0,0,12.131
89,13,0.135,0,0,12.135
90,13,0.145,0,0,12.145
91,13,0.141,0,0,12.141
92,13,0.127,0,0,12.127
93,13,0.141,0,0,12.141
94,13,0.055,0,0,12.055
95,13,0.149,0,0,12.149
96,13,0.143,0,0,12.143
97,13,0.12,0,0,12.12
98,13,0.112,0,0,12.112
99,13,0.142,0,0,12.142
100,13,0.124,0,0,12.124
101,13,0.129,0,0,12.129
102,13,0.088,0,0,12.088
103,13,0.131,0,0,12.131
104,13,0.175,0,0,12.175
105,13,0.195,0,0,12.195
106,13,0.071,1,4,16.071
107,13,0.153,0,0,12.153
108,13,0.117,0,0,12.117
109,13,0.136,0,0,12.136
110,13,0.117,0,0,12.117
111,13,0.971,0,0,12.971
112,13,0.139,0,0,12.139
113,13,0.169,0,0,12.169
114,13,0.044,1,4,16.044
115,13,0.168,0,0,12.168
116,13,0.133,0,0,12.133
117,13,0.128,0,0,12.128
118,13,0.119,0,0,12.119
119,13,0.138,0,0,12.138
120,13,0.129,0,0,12.129
121,13,0.132,0,0,12.132
122,13,0.167,0,0,12.167
123,13,0.127,0,0,12.127
124,13,0.167,0,0,12.167
125,13,0.179,0,0,12.179
126,13,0.199,0,0,12.199
127,13,0.132,0,0,12.132
128,13,0.126,0,0,12.126
129,13,0.156,0,0,12.156
130,13,0.14,0,0,12.14
131,13,0.111,0,0,12.111
132,13,0.124,0,0,12.124
133,13,0.151,0,0,12.151
134,13,0.111,0,0,12.111
135,13,0.418,0,0,12.418
136,13,0.142,0,0,12.142
137,13,0.133,0,0,12.133
138,13,0.116,0,0,12.116
139,13,0.186,0,0,12.186
140,13,0.126,0,0,12.126
141,13,0.134,0,0,12.134
142,13,0.184,0,0,12.184
143,13,0.188,0,0,12.188
144,13,0.345,0,0,12.345
145,13,0.127,0,0,12.127
146,13,0.128,0,0,12.128
147,13,0.109,0,0,12.109
148,13,0.135,0,0,12.135
149,13,0.096,0,0,12.096
150,13,0.169,0,0,12.169
151,13,0.108,0,0,12.108
152,13,0.113,0,0,12.113
153,13,0.186,0,0,12.186
154,13,4.578,0,0,16.578
155,13,0.116,0,0,12.116
156,13,0.196,0,0,12.196
157,13,0.262,0,0,12.262
158,13,0.142,0,0,12.142
159,13,0.168,0,0,12.168
160,13,0.1,0,0,12.1
161,13,0.152,0,0,12.152
162,13,0.159,0,0,12.159
163,13,0.118,0,0,12.118
164,13,0.125,0,0,12.125
165,13,0.171,0,0,12.171
166,13,0.135,0,0,12.135
167,13,0.242,0,0,12.242
168,13,0.12,0,0,12.12
169,13,0.168,0,0,12.168
170,13,0.15,0,0,12.15
171,13,0.145,0,0,12.145
172,13,0.123,0,0,12.123
173,13,0.154,0,0,12.154
174,13,0.139,0,0,12.139
175,13,0.198,0,0,12.198
176,13,0.13,0,0,12.13
177,13,0.397,0,0,12.397
178,13,0.145,0,0,12.145
179,13,0.124,0,0,12.124
180,13,0.133,0,0,12.133
181,13,0.158,0,0,12.158
182,13,0.143,0,0,12.143
183,13,0.141,0,0,12.141
184,13,0.126,0,0,12.126
185,13,0.149,0,0,12.149
186,13,0.132,0,0,12.132
187,13,0.174,0,0,12.174
188,13,0.131,0,0,12.131
189,13,0.154,0,0,12.154
190,13,0.113,0,0,12.113
191,13,0.125,0,0,12.125
192,13,0.145,0,0,12.145
193,13,0.119,0,0,12.119
194,13,0.129,0,0,12.129
195,13,0.13,0,0,12.13
196,13,0.16,0,0,12.16
197,13,0.116,0,0,12.116
198,13,0.154,0,0,12.154
199,13,0.152,0,0,12.152
200,13,0.189,0,0,12.189
201,13,0.189,0,0,12.189
202,13,0.129,0,0,12.129
203,13,0.112,0,0,12.112
204,13,0.141,0,0,12.141
205,13,0.117,0,0,12.117
206,13,0.138,0,0,12.138
207,13,0.112,0,0,12.112
208,13,0.132,0,0,12.132
209,13,0.153,0,0,12.153
210,13,0.136,0,0,12.136
211,13,0.123,0,0,12.123
212,13,0.116,0,0,12.116
213,13,0.118,0,0,12.118
214,13,0.353,0,0,12.353
215,13,0.2,0,0,12.2
216,13,0.145,0,0,12.145
217,13,0.176,0,0,12.176
218,13,0.184,0,0,12.184
219,13,0.141,0,0,12.141
220,13,0.116,0,0,12.116
221,13,0.132,0,0,12.132
222,13,0.163,0,0,12.163
223,13,0.139,0,0,12.139
224,13,0.182,0,0,12.182
225,13,0.151,0,0,12.151
226,13,0.098,0,0,12.098
227,13,0.119,0,0,12.119
228,13,0.12,0,0,12.12
229,13,0.116,0,0,12.116
230,13,0.118,0,0,12.118
231,13,0.157,0,0,12.157
232,13,0.183,0,0,12.183
233,13,0.139,0,0,12.139
234,13,0.142,0,0,12.142
235,13,0.131,0,0,12.131
236,13,0.146,0,0,12.146
237,13,0.152,0,0,12.152
238,13,0.137,0,0,12.137
239,13,2.765,0,0,14.765
240,13,0.14,0,0,12.14
241,13,0.19,0,0,12.19
242,13,0.165,0,0,12.165
243,13,0.168,0,0,12.168
244,13,0.124,0,0,12.124
245,13,0.121,0,0,12.121
246,13,0.133,0,0,12.133
247,13,0.185,0,0,12.185
248,13,0.139,0,0,12.139
249,13,0.159,0,0,12.159
250,13,0.111,0,0,12.111
251,13,0.236,0,0,12.236
252,13,0.133,0,0,12.133
253,13,0.122,0,0,12.122
254,13,0.127,0,0,12.127
255,13,0.179,0,0,12.179
256,13,0.588,0,0,12.588
257,13,0.132,0,0,12.132
258,13,0.127,0,0,12.127
259,13,0.129,0,0,12.129
260,13,0.149,0,0,12.149
261,13,0.143,0,0,12.143
262,13,0.132,0,0,12.132
263,13,0.121,0,0,12.121
264,13,0.177,0,0,12.177
265,13,0.128,0,0,12.128
266,13,0.12,0,0,12.12
267,13,0.092,0,0,12.092
268,13,0.078,0,0,12.078
269,13,0.157,0,0,12.157
270,13,0.154,0,0,12.154
271,13,0.146,0,0,12.146
272,13,0.111,0,0,12.111
273,13,0.157,0,0,12.157
274,13,0.137,0,0,12.137
275,13,0.148,0,0,12.148
276,13,0.138,0,0,12.138
277,13,0.156,0,0,12.156
278,13,0.333,0,0,12.333
279,13,0.116,0,0,12.116
280,13,0.145,0,0,12.145
281,13,0.117,0,0,12.117
282,13,0.137,0,0,12.137
283,13,0.128,0,0,12.128
284,13,0.166,0,0,12.166
285,13,0.151,0,0,12.151
286,13,0.206,0,0,12.206
287,13,0.329,0,0,12.329
288,13,0.131,0,0,12.131
289,13,0.165,0,0,12.165
290,13,0.145,0,0,12.145
291,13,0.298,0,0,12.298
292,13,0.272,0,0,12.272
293,13,0.128,0,0,12.128
294,13,0.145,0,0,12.145
295,13,0.135,0,0,12.135
296,13,0.271,0,0,12.271
297,13,0.136,0,0,12.136
298,13,0.133,0,0,12.133
299,13,0.135,0,0,12.135
300,13,0.136,0,0,12.136
301,13,0.14,0,0,12.14
302,13,0.166,0,0,12.166
303,13,0.173,0,0,12.173
304,13,0.482,0,0,12.482
305,13,0.16,0,0,12.16
306,13,0.146,0,0,12.146
307,13,0.138,0,0,12.138
308,13,0.128,0,0,12.128
309,13,0.127,0,0,12.127
310,13,0.138,0,0,12.138
311,13,0.319,0,0,12.319
312,13,0.123,0,0,12.123
313,13,0.142,0,0,12.142
314,13,0.146,0,0,12.146
315,13,0.14,0,0,12.14
316,13,0.144,0,0,12.144
317,13,0.22,0,0,12.22
318,13,0.128,0,0,12.128
319,13,0.128,0,0,12.128
320,13,0.111,0,0,12.111
321,13,0.19,0,0,12.19
322,13,0.124,0,0,12.124
323,13,0.105,0,0,12.105
324,13,0.11,0,0,12.11
325,13,0.105,0,0,12.105
326,13,0.27,0,0,12.27
327,13,0.129,0,0,12.129
328,13,0.127,0,0,12.127
329,13,0.127,0,0,12.127
330,13,0.177,0,0,12.177
331,13,0.154,0,0,12.154
332,13,0.142,0,0,12.142
333,13,0.136,0,0,12.136
334,13,0.111,0,0,12.111
335,13,0.142,0,0,12.142
336,13,0.112,0,0,12.112
337,13,0.172,0,0,12.172
338,13,0.117,0,0,12.117
339,13,0.131,0,0,12.131
340,13,0.129,0,0,12.129
341,13,0.142,0,0,12.142
342,13,0.164,0,0,12.164
343,13,0.176,0,0,12.176
344,13,0.134,0,0,12.134
345,13,0.149,0,0,12.149
346,13,0.135,0,0,12.135
347,13,0.223,0,0,12.223
348,13,0.135,0,0,12.135
349,13,0.112,0,0,12.112
350,13,0.171,0,0,12.171
351,13,0.145,0,0,12.145
352,13,0.134,0,0,12.134
353,13,0.178,0,0,12.178
354,13,0.16,0,0,12.16
355,13,0.144,0,0,12.144
356,13,0.143,0,0,12.143
357,13,0.13,0,0,12.13
358,13,0.11,0,0,12.11
359,13,0.314,0,0,12.314
360,13,0.157,0,0,12.157
361,13,0.093,0,0,12.093
362,13,0.113,0,0,12.113
363,13,0.083,0,0,12.083
